Prov 1:1 [מִשְׁלֵי] [שְׁלֹמֹה] [בֶן] [דָּוִד] king [יִשְׂרָאֵל] | [KJV:] The proverbs of Solomon the son of David, king of Israel;
Prov 17:8 [אֶבֶן] grace [הַשֹּׁחַד] [בְּעֵינֵי] [בְעָלָיו] to/toward [כָּל] [אֲשֶׁר] [יְִנֶה] [יַשְׂכִּיל] | [KJV:] A gift is as a precious stone in the eyes of him that hath it: whithersoever it turneth, it prospereth.
Prov 17:9 [מְכֶַּה] [ֶּשַׁע] [מְבַקֵּשׁ] [אַהֲבָה] [וְשֹׁנֶה] [בְדָבָר] [מְַרִיד] [אַלּוּף] | [KJV:] He that covereth a transgression seeketh love; but he that repeateth a matter separateth very friends.
Prov 17:10 [תֵּחַת] [גְּעָרָה] [בְמֵבִין] [מֵהַכּוֹת] [כְִּיל] hundred | [KJV:] A reproof entereth more into a wise man than an hundred stripes into a fool.
Prov 17:11 only/however [מְרִי] [יְבַקֶּשׁ] [רָע] [וּמַלְאָךְ] [אַכְזָרִי] [יְשֻׁלַּח] in him/it | [KJV:] An evil man seeketh only rebellion: therefore a cruel messenger shall be sent against him.
Prov 17:12 [ָּגוֹשׁ] [דֹּב] [שַׁכּוּל] [בְּאִישׁ] [וְאַל] [כְִּיל] [בְּאִוַּלְתּוֹ] | [KJV:] Let a bear robbed of her whelps meet a man, rather than a fool in his folly.
Prov 17:13 [מֵשִׁיב] [רָעָה] [תַּחַת] [טוֹבָה] not [תָמִישׁ] [רָעָה] [מִבֵּיתוֹ] | [KJV:] Whoso rewardeth evil for good, evil shall not depart from his house.
Prov 17:14 [ּוֹטֵר] water(s) [רֵאשִׁית] [מָדוֹן] [וְלְִנֵי] [הִתְגַּלַּע] [הָרִיב] [נְטוֹשׁ] | [KJV:] The beginning of strife is as when one letteth out water: therefore leave off contention, before it be meddled with.
Prov 17:15 [מַצְדִּיק] [רָשָׁע] [וּמַרְשִׁיעַ] [צַדִּיק] [תּוֹעֲבַת] YHWH/[the] LORD [גַּם] [שְׁנֵיהֶם] | [KJV:] He that justifieth the wicked, and he that condemneth the just, even they both are abomination to the Lord.
Prov 17:16 [לָמָּה] [זֶּה] [מְחִיר] [בְּיַד] [כְִּיל] [לִקְנוֹת] [חָכְמָה] [וְלֶב] [אָיִן] | [KJV:] Wherefore is there a price in the hand of a fool to get wisdom, seeing he hath no heart to it?
Prov 17:17 [בְּכָל] [עֵת] [אֹהֵב] [הָרֵעַ] [וְאָח] [לְצָרָה] [יִוָּלֵד] | [KJV:] A friend loveth at all times, and a brother is born for adversity.
Prov 17:18 man/mankind [חֲַר] heart [תּוֹקֵעַ] [כָּף] [עֹרֵב] [עֲרֻבָּה] [לְִנֵי] [רֵעֵהוּ] | [KJV:] A man void of understanding striketh hands, and becometh surety in the presence of his friend.
Prov 17:19 [אֹהֵב] [ֶּשַׁע] [אֹהֵב] [מַצָּה] [מַגְבִּיהַּ] [ִּתְחוֹ] [מְבַקֶּשׁ] [שָׁבֶר] | [KJV:] He loveth transgression that loveth strife: and he that exalteth his gate seeketh destruction.
Prov 17:20 [עִקֶּשׁ] heart not [יִמְצָא] good [וְנֶהְָּךְ] [בִּלְשׁוֹנוֹ] [יִּוֹל] [בְּרָעָה] | [KJV:] He that hath a froward heart findeth no good: and he that hath a perverse tongue falleth into mischief.
Prov 17:21 [יֹלֵד] [כְִּיל] [לְתוּגָה] to him and not [יִשְׂמַח] my father [נָבָל]
Prov 17:22 heart [שָׂמֵחַ] [יֵיטִב] [גֵּהָה] [וְרוּחַ] [נְכֵאָה] [תְּיַבֶּשׁ] [גָּרֶם] | [KJV:] A merry heart doeth good like a medicine: but a broken spirit drieth the bones.
Prov 17:23 [שֹׁחַד] [מֵחֵיק] [רָשָׁע] [יִקָּח] [לְהַטּוֹת] [אָרְחוֹת] [מִשְָּׁט] | [KJV:] A wicked man taketh a gift out of the bosom to pervert the ways of judgment.
Prov 17:24 [with] [ְּנֵי] [מֵבִין] [חָכְמָה] [וְעֵינֵי] [כְִיל] [בִּקְצֵה] earth | [KJV:] Wisdom is before him that hath understanding; but the eyes of a fool are in the ends of the earth.
Prov 17:25 [כַּעַ] [לְאָבִיו] [בֵּן] [כְִּיל] [וּמֶמֶר] [לְיוֹלַדְתּוֹ] | [KJV:] A foolish son is a grief to his father, and bitterness to her that bare him.
Prov 17:26 [גַּם] [עֲנוֹשׁ] [לַצַּדִּיק] not good [לְהַכּוֹת] [נְדִיבִים] upon [יֹשֶׁר] | [KJV:] Also to punish the just is not good, nor to strike princes for equity.
Prov 17:27 [חוֹשֵׂךְ] [אֲמָרָיו] [he] knows [דָּעַת] [וְקַר] spirit/wind man [תְּבוּנָה] | [KJV:] He that hath knowledge spareth his words: and a man of understanding is of an excellent spirit.
Prov 17:28 [גַּם] [אֱוִיל] [מַחֲרִישׁ] wise [יֵחָשֵׁב] [אֹטֵם] [שְָׂתָיו] [נָבוֹן] | [KJV:] Even a fool, when he holdeth his peace, is counted wise: and he that shutteth his lips is esteemed a man of understanding.
Prov 18:1 [לְתַאֲוָה] [יְבַקֵּשׁ] [נְִרָד] [בְּכָל] [תּוּשִׁיָּה] [יִתְגַּלָּע] | [KJV:] Through desire a man, having separated himself, seeketh and intermeddleth with all wisdom.
Prov 18:2 not [יַחְֹּץ] [כְִּיל] [בִּתְבוּנָה] [כִּי] if [בְּהִתְגַּלּוֹת] [לִבּוֹ] | [KJV:] A fool hath no delight in understanding, but that his heart may discover itself.
Prov 18:3 [בְּבוֹא] [רָשָׁע] [בָּא] [גַם] [בּוּז] [וְעִם] [קָלוֹן] [חֶרְָּה] | [KJV:] When the wicked cometh, then cometh also contempt, and with ignominy reproach.
Prov 18:4 water(s) [עֲמֻקִּים] [דִּבְרֵי] [ִי] man inheritance [נֹבֵעַ] [מְקוֹר] [חָכְמָה] | [KJV:] The words of a man's mouth are as deep waters, and the wellspring of wisdom as a flowing brook.
Prov 18:5 [שְׂאֵת] [ְּנֵי] [רָשָׁע] not good [לְהַטּוֹת] [צַדִּיק] [בַּמִּשְָּׁט] | [KJV:] It is not good to accept the person of the wicked, to overthrow the righteous in judgment.
Prov 18:6 [שְִׂתֵי] [כְִיל] [יָבֹאוּ] [בְרִיב] [וִּיו] [לְמַהֲלֻמוֹת] [יִקְרָא] | [KJV:] A fool's lips enter into contention, and his mouth calleth for strokes.
Prov 18:7 [ִּי] [כְִיל] [מְחִתָּה] to him [וּשְָׂתָיו] [מוֹקֵשׁ] [נְַשׁוֹ] | [KJV:] A fool's mouth is his destruction, and his lips are the snare of his soul.
Prov 18:8 [דִּבְרֵי] [נִרְגָּן] [כְּמִתְלַהֲמִים] [וְהֵם] [יָרְדוּ] [חַדְרֵי] [בָטֶן] | [KJV:] The words of a talebearer are as wounds, and they go down into the innermost parts of the belly.
Prov 18:9 [גַּם] [מִתְרֶַּה] [בִמְלַאכְתּוֹ] brother he [לְבַעַל] [מַשְׁחִית] | [KJV:] He also that is slothful in his work is brother to him that is a great waster.
Prov 18:10 [מִגְדַּל] [עֹז] [שֵׁם] YHWH/[the] LORD in him/it [יָרוּץ] [צַדִּיק] [וְנִשְׂגָּב] | [KJV:] The name of the Lord is a strong tower: the righteous runneth into it, and is safe.
Prov 18:11 [הוֹן] [עָשִׁיר] Kiriath [עֻזּוֹ] [וּכְחוֹמָה] [נִשְׂגָּבָה] [בְּמַשְׂכִּיתוֹ] | [KJV:] The rich man's wealth is his strong city, and as an high wall in his own conceit.
Prov 18:12 [לְִנֵי] [שֶׁבֶר] [יִגְבַּהּ] heart man [וְלְִנֵי] [כָבוֹד] [עֲנָוָה] | [KJV:] Before destruction the heart of man is haughty, and before honour is humility.
Prov 18:13 [מֵשִׁיב] [דָּבָר] [בְּטֶרֶם] [יִשְׁמָע] [אִוֶּלֶת] she to him [וּכְלִמָּה] | [KJV:] He that answereth a matter before he heareth it, it is folly and shame unto him.
Prov 18:14 spirit/wind man [יְכַלְכֵּל] [מַחֲלֵהוּ] [וְרוּחַ] [נְכֵאָה] who [יִשָּׂאֶנָּה] | [KJV:] The spirit of a man will sustain his infirmity; but a wounded spirit who can bear?
Prov 18:15 heart [נָבוֹן] [יִקְנֶה] [דָּעַת] [וְאֹזֶן] [חֲכָמִים] [תְּבַקֶּשׁ] [דָּעַת] | [KJV:] The heart of the prudent getteth knowledge; and the ear of the wise seeketh knowledge.
Prov 18:16 [מַתָּן] man/mankind [יַרְחִיב] to him [וְלְִנֵי] [גְדֹלִים] [יַנְחֶנּוּ] | [KJV:] A man's gift maketh room for him, and bringeth him before great men.
Prov 18:17 [צַדִּיק] [הָרִאשׁוֹן] [בְּרִיבוֹ] [יּבָא] [רֵעֵהוּ] [וַחֲקָרוֹ] | [KJV:] He that is first in his own cause seemeth just; but his neighbour cometh and searcheth him.
Prov 18:18 [מִדְיָנִים] [יַשְׁבִּית] [הַגּוֹרָל] and between [עֲצוּמִים] [יְַרִיד] | [KJV:] The lot causeth contentions to cease, and parteth between the mighty.
Prov 18:19 brother [נְִשָׁע] [מִקִּרְיַת] [עֹז] [וּמְדוֹנִים] [כִּבְרִיחַ] [אַרְמוֹן] | [KJV:] A brother offended is harder to be won than a strong city: and their contentions are like the bars of a castle.
Prov 18:20 [מְִּרִי] [ִי] man [תִּשְׂבַּע] [בִּטְנוֹ] [תְּבוּאַת] [שְָׂתָיו] [יִשְׂבָּע] | [KJV:] A man's belly shall be satisfied with the fruit of his mouth; and with the increase of his lips shall he be filled.
Prov 18:21 [מָוֶת] [וְחַיִּים] [בְּיַד] [לָשׁוֹן] [וְאֹהֲבֶיהָ] [יֹאכַל] [ִּרְיָהּ] | [KJV:] Death and life are in the power of the tongue: and they that love it shall eat the fruit thereof.
Prov 18:22 [מָצָא] [אִשָּׁה] [מָצָא] good [וַיֶָּק] [רָצוֹן] [מֵיְהוָה] | [KJV:] Whoso findeth a wife findeth a good thing, and obtaineth favour of the Lord.
Prov 18:23 [תַּחֲנוּנִים] [יְדַבֶּר] [רָשׁ] [וְעָשִׁיר] [יַעֲנֶה] [עַזּוֹת] | [KJV:] The poor useth intreaties; but the rich answereth roughly.
Prov 18:24 man [רֵעִים] [לְהִתְרֹעֵעַ] [וְיֵשׁ] [אֹהֵב] [דָּבֵק] [מֵאָח] | [KJV:] A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother.
Prov 19:1 good [רָשׁ] [הוֹלֵךְ] [בְּתֻמּוֹ] [מֵעִקֵּשׁ] [שְָׂתָיו] [וְהוּא] [כְִיל] | [KJV:] Better is the poor that walketh in his integrity, than he that is perverse in his lips, and is a fool.
Prov 19:2 [גַּם] [בְּלֹא] [דַעַת] [נֶֶשׁ] not good [וְאָץ] [בְּרַגְלַיִם] [חוֹטֵא] | [KJV:] Also, that the soul be without knowledge, it is not good; and he that hasteth with his feet sinneth.
Prov 19:3 [אִוֶּלֶת] man/mankind [תְַּלֵּף] [דַּרְכּוֹ] and upon YHWH/[the] LORD [יִזְעַף] [לִבּוֹ]
Prov 19:4 [הוֹן] [יִֹיף] [רֵעִים] [רַבִּים] [וְדָל] [מֵרֵעהוּ] [יִָּרֵד] | [KJV:] Wealth maketh many friends; but the poor is separated from his neighbour.
Prov 19:5 [עֵד] [שְׁקָרִים] not [יִנָּקֶה] [וְיִָיחַ] [כְּזָבִים] not [יִמָּלֵט] | [KJV:] A false witness shall not be unpunished, and he that speaketh lies shall not escape.
Prov 19:6 [רַבִּים] [יְחַלּוּ] [ְנֵי] [נָדִיב] and all [הָרֵעַ] [לְאִישׁ] [מַתָּן] | [KJV:] Many will intreat the favour of the prince: and every man is a friend to him that giveth gifts.
Prov 19:7 [כָּל] [אֲחֵי] [רָשׁ] [שְׂנֵאֻהוּ] [אַף] [כִּי] [מְרֵעֵהוּ] [רָחֲקוּ] [מִמֶּנּוּ] [מְרַדֵּף] [אֲמָרִים] not [הֵמָּה] | [KJV:] All the brethren of the poor do hate him: how much more do his friends go far from him? he pursueth them with words, yet they are wanting to him.
Prov 19:8 [קֹנֶה] [לֵּב] [אֹהֵב] [נְַשׁוֹ] [שֹׁמֵר] [תְּבוּנָה] [לִמְצֹא] good | [KJV:] He that getteth wisdom loveth his own soul: he that keepeth understanding shall find good.
Prov 19:9 [עֵד] [שְׁקָרִים] not [יִנָּקֶה] [וְיִָיחַ] [כְּזָבִים] [יֹאבֵד] | [KJV:] A false witness shall not be unpunished, and he that speaketh lies shall perish.
Prov 19:10 not [נָאוֶה] [לִכְִיל] [תַּעֲנוּג] [אַף] [כִּי] [לְעֶבֶד] [מְשֹׁל] [בְּשָׂרִים] | [KJV:] Delight is not seemly for a fool; much less for a servant to have rule over princes.
Prov 19:11 [שֵׂכֶל] man/mankind [הֶאֱרִיךְ] [אַּוֹ] [וְתִאַרְתּוֹ] pass over! upon [ָּשַׁע] | [KJV:] The discretion of a man deferreth his anger; and it is his glory to pass over a transgression.
Prov 19:12 [נַהַם] [כַּכְִּיר] [זַעַף] king [וּכְטַל] upon [עֵשֶׂב] [רְצוֹנוֹ] | [KJV:] The king's wrath is as the roaring of a lion; but his favour is as dew upon the grass.
Prov 19:13 [הַוֹּת] [לְאָבִיו] [בֵּן] [כְִּיל] [וְדֶלֶף] [טֹרֵד] [מִדְיְנֵי] [אִשָּׁה] | [KJV:] A foolish son is the calamity of his father: and the contentions of a wife are a continual dropping.
Prov 19:14 [בַּיִת] [וָהוֹן] inheritance of [אָבוֹת] [וּמֵיְהוָה] [אִשָּׁה] [מַשְׂכָּלֶת] | [KJV:] House and riches are the inheritance of fathers: and a prudent wife is from the Lord.
Prov 19:15 [עַצְלָה] [תִַּּיל] [תַּרְדֵּמָה] [וְנֶֶשׁ] [רְמִיָּה] [תִרְעָב] | [KJV:] Slothfulness casteth into a deep sleep; and an idle soul shall suffer hunger.
Prov 19:16 [שֹׁמֵר] [מִצְוָה] [שֹׁמֵר] [נְַשׁוֹ] [בּוֹזֵה] [דְרָכָיו] [יוּמָת] | [KJV:] He that keepeth the commandment keepeth his own soul; but he that despiseth his ways shall die.
Prov 19:17 [מַלְוֵה] YHWH/[the] LORD [חוֹנֵן] [דָּל] [וּגְמֻלוֹ] [יְשַׁלֶּם] to him | [KJV:] He that hath pity upon the poor lendeth unto the Lord; and that which he hath given will he pay him again.
Prov 19:18 [יֵַּר] [בִּנְךָ] [כִּי] [יֵשׁ] [תִּקְוָה] and to [הֲמִיתוֹ] not [imperative] [תִּשָּׂא] [נְַשֶׁךָ] | [KJV:] Chasten thy son while there is hope, and let not thy soul spare for his crying.
Prov 19:19 [גְּרָל] [חֵמָה] [נֹשֵׂא] [עֹנֶשׁ] [כִּי] if [תַּצִּיל] [וְעוֹד] [תּוִֹף] | [KJV:] A man of great wrath shall suffer punishment: for if thou deliver him, yet thou must do it again.
Prov 19:20 [שְׁמַע] [עֵצָה] [וְקַבֵּל] [מוָּר] for the sake of [תֶּחְכַּם] [בְּאַחֲרִיתֶךָ] | [KJV:] Hear counsel, and receive instruction, that thou mayest be wise in thy latter end.
Prov 19:21 [רַבּוֹת] [מַחֲשָׁבוֹת] [בְּלֶב] man [וַעֲצַת] YHWH/[the] LORD she [תָקוּם] | [KJV:] There are many devices in a man's heart; nevertheless the counsel of the Lord, that shall stand.
Prov 19:22 [תַּאֲוַת] man/mankind [חְַדּוֹ] [וְטוֹב] [רָשׁ] [מֵאִישׁ] [כָּזָב] | [KJV:] The desire of a man is his kindness: and a poor man is better than a liar.
Prov 19:23 [יִרְאַת] YHWH/[the] LORD [לְחַיִּים] [וְשָׂבֵעַ] [יָלִין] [בַּל] [יִָּקֶד] [רָע] | [KJV:] The fear of the Lord tendeth to life: and he that hath it shall abide satisfied; he shall not be visited with evil.
Prov 19:24 [טָמַן] [עָצֵל] his hand [בַּצַּלָּחַת] [גַּם] to/toward [ִּיהוּ] not [יְשִׁיבֶנָּה] | [KJV:] A slothful man hideth his hand in his bosom, and will not so much as bring it to his mouth again.
Prov 19:25 [לֵץ] [תַּכֶּה] [וֶּתִי] [יַעְרִם] [וְהוֹכִיחַ] [לְנָבוֹן] [יָבִין] [דָּעַת] | [KJV:] Smite a scorner, and the simple will beware: and reprove one that hath understanding, and he will understand knowledge.
Prov 19:26 [מְשַׁדֶּד] father [יַבְרִיחַ] mother [בֵּן] [מֵבִישׁ] [וּמַחְִּיר] | [KJV:] He that wasteth his father, and chaseth away his mother, is a son that causeth shame, and bringeth reproach.
Prov 19:27 [חַדַל] [בְּנִי] [לִשְׁמֹעַ] [מוָּר] [לִשְׁגוֹת] [מֵאִמְרֵי] [דָעַת] | [KJV:] Cease, my son, to hear the instruction that causeth to err from the words of knowledge.
Prov 19:28 [עֵד] [בְּלִיַּעַל] [יָלִיץ] [מִשְָּׁט] [וִּי] [רְשָׁעִים] [יְבַלַּע] [אָוֶן] | [KJV:] An ungodly witness scorneth judgment: and the mouth of the wicked devoureth iniquity.
Prov 19:29 [נָכוֹנוּ] [לַלֵּצִים] [שְָׁטִים] [וּמַהֲלֻמוֹת] [לְגֵו] [כְִּילִים] | [KJV:] Judgments are prepared for scorners, and stripes for the back of fools.
Prov 20:1 [לֵץ] [הַיַּיִן] [הֹמֶה] [שֵׁכָר] and all [שֹׁגֶה] in him/it not [יֶחְכָּם]
Prov 20:2 [נַהַם] [כַּכְִּיר] [אֵימַת] king [מִתְעַבְּרוֹ] [חוֹטֵא] [נְַשׁוֹ] | [KJV:] The fear of a king is as the roaring of a lion: whoso provoketh him to anger sinneth against his own soul.
Prov 20:3 [כָּבוֹד] [לָאִישׁ] [שֶׁבֶת] [מֵרִיב] and all [אֱוִיל] [יִתְגַּלָּע] | [KJV:] It is an honour for a man to cease from strife: but every fool will be meddling.
Prov 20:4 [מֵחֹרֶף] [עָצֵל] not [יַחֲרֹשׁ] [יִשְׁאַל] [בַּקָּצִיר] [וָאָיִן] | [KJV:] The sluggard will not plow by reason of the cold; therefore shall he beg in harvest, and have nothing.
Prov 20:5 water(s) [עֲמֻקִּים] [עֵצָה] [בְלֶב] man and a man [תְּבוּנָה] [יִדְלֶנָּה]
Prov 20:6 [רָב] man/mankind [יִקְרָא] man [חְַדּוֹ] and a man [אֱמוּנִים] who [יִמְצָא]
Prov 20:7 [מִתְהַלֵּךְ] [בְּתֻמּוֹ] [צַדִּיק] [אַשְׁרֵי] [בָנָיו] [אַחֲרָיו] | [KJV:] The just man walketh in his integrity: his children are blessed after him.
Prov 20:8 king [יוֹשֵׁב] upon [כִֵּּא] [דִין] [מְזָרֶה] [בְעֵינָיו] [כָּל] [רָע] | [KJV:] A king that sitteth in the throne of judgment scattereth away all evil with his eyes.
Prov 20:9 who [יֹאמַר] [זִכִּיתִי] [לִבִּי] [טָהַרְתִּי] [מֵחַטָּאתִי] | [KJV:] Who can say, I have made my heart clean, I am pure from my sin?
Prov 20:10 [אֶבֶן] [וָאֶבֶן] [אֵיָה] [וְאֵיָה] [תּוֹעֲבַת] YHWH/[the] LORD [גַּם] [שְׁנֵיהֶם] | [KJV:] Divers weights, and divers measures, both of them are alike abomination to the Lord.
Prov 20:11 [גַּם] [בְּמַעֲלָלָיו] [יִתְנַכֶּר] [נָעַר] if [זַךְ] and if [יָשָׁר] [ָּעֳלוֹ] | [KJV:] Even a child is known by his doings, whether his work be pure, and whether it be right.
Prov 20:12 [אֹזֶן] [שֹׁמַעַת] [וְעַיִן] [רֹאָה] YHWH/[the] LORD [עָשָׂה] [גַם] [שְׁנֵיהֶם] | [KJV:] The hearing ear, and the seeing eye, the Lord hath made even both of them.
Prov 20:13 not [imperative] [תֶּאֱהַב] [שֵׁנָה] [ֶּן] [תִּוָּרֵשׁ] [ְּקַח] [עֵינֶיךָ] [שְׂבַע] [לָחֶם] | [KJV:] Love not sleep, lest thou come to poverty; open thine eyes, and thou shalt be satisfied with bread.
Prov 20:14 bad bad [יֹאמַר] [הַקּוֹנֶה] [וְאֹזֵל] to him then [יִתְהַלָּל]
Prov 20:15 [יֵשׁ] gold [וְרָב] [ְּנִינִים] [וּכְלִי] [יְקָר] [שְִׂתֵי] [דָעַת] | [KJV:] There is gold, and a multitude of rubies: but the lips of knowledge are a precious jewel.
Prov 20:16 [לְקַח] [בִּגְדוֹ] [כִּי] [עָרַב] [זָר] [וּבְעַד] [נָכְרִים] [חַבְלֵהוּ] | [KJV:] Take his garment that is surety for a stranger: and take a pledge of him for a strange woman.
Prov 20:17 [עָרֵב] [לָאִישׁ] bread [שָׁקֶר] [וְאַחַר] [יִמָּלֵא] [ִיהוּ] [חָצָץ] | [KJV:] Bread of deceit is sweet to a man; but afterwards his mouth shall be filled with gravel.
Prov 20:18 [מַחֲשָׁבוֹת] [בְּעֵצָה] [תִכּוֹן] [וּבְתַחְבֻּלוֹת] [עֲשֵׂה] war | [KJV:] Every purpose is established by counsel: and with good advice make war.
Prov 20:19 [גּוֹלֶה] [ּוֹד] [הוֹלֵךְ] [רָכִיל] [וּלְֹתֶה] [שְָׂתָיו] not [תִתְעָרָב] | [KJV:] He that goeth about as a talebearer revealeth secrets: therefore meddle not with him that flattereth with his lips.
Prov 20:20 [מְקַלֵּל] his father [וְאִמּוֹ] [יִדְעַךְ] [נֵרוֹ] [בְּאִישׁוֹן] [חֹשֶׁךְ] | [KJV:] Whoso curseth his father or his mother, his lamp shall be put out in obscure darkness.
Prov 20:21 inheritance [מְבֻחֶלֶת] [בָּרִאשֹׁנָה] [וְאַחֲרִיתָהּ] not [תְבֹרָךְ] | [KJV:] An inheritance may be gotten hastily at the beginning; but the end thereof shall not be blessed.
Prov 20:22 not [imperative] [תֹּאמַר] [אֲשַׁלְּמָה] [רָע] [קַוֵּה] to YHWH [וְיֹשַׁע] to you [f] | [KJV:] Say not thou, I will recompense evil; but wait on the Lord, and he shall save thee.
Prov 20:23 [תּוֹעֲבַת] YHWH/[the] LORD [אֶבֶן] [וָאָבֶן] [וּמֹאזְנֵי] [מִרְמָה] not good | [KJV:] Divers weights are an abomination unto the Lord; and a false balance is not good.
Prov 20:24 [מֵיְהוָה] [מִצְעֲדֵי] [גָבֶר] [וְאָדָם] what [יָּבִין] [דַּרְכּוֹ] | [KJV:] Man's goings are of the Lord; how can a man then understand his own way?
Prov 20:25 [מוֹקֵשׁ] man/mankind [יָלַע] holy [וְאַחַר] [נְדָרִים] [לְבַקֵּר] | [KJV:] It is a snare to the man who devoureth that which is holy, and after vows to make enquiry.
Prov 20:26 [מְזָרֶה] [רְשָׁעִים] king wise [וַיָּשֶׁב] upon them [אוָֹן]
Prov 20:27 [נֵר] YHWH/[the] LORD [נִשְׁמַת] man/mankind [חֵֹשׂ] [כָּל] [חַדְרֵי] [בָטֶן] | [KJV:] The spirit of man is the candle of the Lord, searching all the inward parts of the belly.
Prov 20:28 [חֶֶד] [וֶאֱמֶת] [יִצְּרוּ] king [וְָעַד] [בַּחֶֶד] [כְִּאוֹ] | [KJV:] Mercy and truth preserve the king: and his throne is upholden by mercy.
Prov 20:29 [תְִּאֶרֶת] [בַּחוּרִים] [כֹּחָם] [וַהֲדַר] [זְקֵנִים] [שֵׂיבָה] | [KJV:] The glory of young men is their strength: and the beauty of old men is the grey head.
Prov 20:30 [חַבֻּרוֹת] [ֶּצַע] [תַּמְרִיק] [בְּרָע] [וּמַכּוֹת] [חַדְרֵי] [בָטֶן] | [KJV:] The blueness of a wound cleanseth away evil: so do stripes the inward parts of the belly.
Prov 21:1 [ַּלְגֵי] water(s) [לֶב] king [בְּיַד] YHWH/[the] LORD upon [כָּל] [אֲשֶׁר] [יַחְֹּץ] [יַטֶּנּוּ] | [KJV:] The king's heart is in the hand of the Lord, as the rivers of water: he turneth it whithersoever he will.
Prov 21:2 [כָּל] [דֶּרֶךְ] man [יָשָׁר] [בְּעֵינָיו] [וְתֹכֵן] [לִבּוֹת] YHWH/[the] LORD | [KJV:] Every way of a man is right in his own eyes: but the Lord pondereth the hearts.
Prov 21:3 [עֲשֹׂה] [צְדָקָה] [וּמִשְָּׁט] [נִבְחָר] to YHWH [מִזָּבַח] | [KJV:] To do justice and judgment is more acceptable to the Lord than sacrifice.
Prov 21:4 [רוּם] [עֵינַיִם] [וּרְחַב] heart [נִר] [רְשָׁעִים] [חַטָּאת] | [KJV:] An high look, and a proud heart, and the plowing of the wicked, is sin.
Prov 21:5 [מַחְשְׁבוֹת] [חָרוּץ] only/however [לְמוֹתָר] and all [אָץ] only/however [לְמַחְוֹר] | [KJV:] The thoughts of the diligent tend only to plenteousness; but of every one that is hasty only to want.
Prov 21:6 [ֹּעַל] [אוֹצָרוֹת] [בִּלְשׁוֹן] [שָׁקֶר] Abel [נִדָּף] [מְבַקְשֵׁי] [מָוֶת] | [KJV:] The getting of treasures by a lying tongue is a vanity tossed to and fro of them that seek death.
Prov 21:7 [שֹׁד] [רְשָׁעִים] [יְגוֹרֵם] [כִּי] [מֵאֲנוּ] to do [מִשְָּׁט] | [KJV:] The robbery of the wicked shall destroy them; because they refuse to do judgment.
Prov 21:8 [הֲַכְַּךְ] [דֶּרֶךְ] man [וָזָר] [וְזַךְ] [יָשָׁר] [ָּעֳלוֹ] | [KJV:] The way of man is froward and strange: but as for the pure, his work is right.
Prov 21:9 good [לָשֶׁבֶת] upon [ִּנַּת] [גָּג] [מֵאֵשֶׁת] [מִדְיָנִים] [וּבֵית] [חָבֶר] | [KJV:] It is better to dwell in a corner of the housetop, than with a brawling woman in a wide house.
Prov 21:10 [נֶֶשׁ] [רָשָׁע] [אִוְּתָה] [רָע] not [יֻחַן] [בְּעֵינָיו] [רֵעֵהוּ] | [KJV:] The soul of the wicked desireth evil: his neighbour findeth no favour in his eyes.
Prov 21:11 [בַּעְנָשׁ] [לֵץ] [יֶחְכַּם] [ֶּתִי] [וּבְהַשְׂכִּיל] [לְחָכָם] [יִקַּח] [דָּעַת] | [KJV:] When the scorner is punished, the simple is made wise: and when the wise is instructed, he receiveth knowledge.
Prov 21:12 [מַשְׂכִּיל] [צַדִּיק] to/for house of [רָשָׁע] [מְַלֵּף] [רְשָׁעִים] [לָרָע] | [KJV:] The righteous man wisely considereth the house of the wicked: but God overthroweth the wicked for their wickedness.
Prov 21:13 [אֹטֵם] [אָזְנוֹ] [מִזַּעֲקַת] [דָּל] [גַּם] he [יִקְרָא] and not [יֵעָנֶה] | [KJV:] Whoso stoppeth his ears at the cry of the poor, he also shall cry himself, but shall not be heard.
Prov 21:14 [מַתָּן] [בֵַּּתֶר] [יִכְֶּה] [אָף] [וְשֹׁחַד] [בַּחֵק] [חֵמָה] [עַזָּה] | [KJV:] A gift in secret pacifieth anger: and a reward in the bosom strong wrath.
Prov 21:15 [שִׂמְחָה] [לַצַּדִּיק] [עֲשׂוֹת] [מִשְָּׁט] [וּמְחִתָּה] [לְֹעֲלֵי] [אָוֶן] | [KJV:] It is joy to the just to do judgment: but destruction shall be to the workers of iniquity.
Prov 21:16 man/mankind [תּוֹעֶה] [מִדֶּרֶךְ] [הַשְׂכֵּל] [בִּקְהַל] [רְָאִים] [יָנוּחַ] | [KJV:] The man that wandereth out of the way of understanding shall remain in the congregation of the dead.
Prov 21:17 man [מַחְוֹר] [אֹהֵב] [שִׂמְחָה] [אֹהֵב] wine [וָשֶׁמֶן] not [יַעֲשִׁיר] | [KJV:] He that loveth pleasure shall be a poor man: he that loveth wine and oil shall not be rich.
Prov 21:18 [כֶֹּר] [לַצַּדִּיק] [רָשָׁע] [וְתַחַת] [יְשָׁרִים] [בּוֹגֵד] | [KJV:] The wicked shall be a ransom for the righteous, and the transgressor for the upright.
Prov 21:19 good [שֶׁבֶת] [בְּאֶרֶץ] [מִדְבָּר] [מֵאֵשֶׁת] [מְדוֹנִים] [וָכָעַ] | [KJV:] It is better to dwell in the wilderness, than with a contentious and an angry woman.
